category,question,options,correct
تجويد,أي من الحروف التالية ليس من حروف الإظهار؟,"همزة, هاء, عين, قاف, خاء",قاف
تجويد,كم عدد حركات المد إذا تبعت حرف المد حرف مشدد؟,"2, 3, 4, 6",6
تجويد,أي من الحروف التالية ليس من حروف القلقلة؟,"قاف, باء, ثاء, جيم",ثاء
تجويد,أي من الحروف التالية ليس من حروف الإدغام بعد النون؟,"ياء, ميم, لام, فاء",فاء
فقه,ما حكم لبس الرجال للذهب في الإسلام إذا لم يكن هناك سبب؟,"محرم, مكروه, مباح, مستحب, واجب",محرم
فقه,ما حكم لبس الرجال للحرير في الإسلام إذا لم يكن هناك سبب؟,"محرم, مكروه, مباح, مستحب, واجب",محرم
قضايا معاصرة,ما هو موقف الإسلام من الأفعال الجنسية المثلية؟,"محرم, مكروه, مباح, مستحب, واجب",محرم
قضايا معاصرة,ما هو موقف الإسلام من الجنس قبل الزواج؟,"محرم, مكروه, مباح, مستحب, واجب",محرم
قضايا معاصرة,ما هو موقف الإسلام من المعاملات غير الفورية في تبادل الذهب والفضة؟,"محرم, مكروه, مباح, مستحب, واجب",محرم
فقه,أي مذهب يؤخر بدء صلاة العصر مقارنة بالآخرين؟,"حنفي, شافعي, حنبلي, مالكي",حنفي
علم التوحيد,ما نوع الخلق الذي ينتمي إليه إبليس أو الشيطان؟,"إنسان, ملاك, جن, آخر",جن
التاريخ الإسلامي,في أي سنة ولد محمد؟,"570 قبل الميلاد, 570 ميلادي, 203 ميلادي, 1492 ميلادي",570 ميلادي
التاريخ الإسلامي,ما هو اسم السنة التي ولد فيها محمد؟,"عام الحصان, عام الفيل, عام النمر, عام الثعبان",عام الفيل
التاريخ الإسلامي,ما هو اسم الزوجة الأولى لمحمد؟,"خديجة, عائشة, سودة, زينب",خديجة
الفقه,أي صلاة تحتوي على عدد فردي من الركعات؟,"الفجر, الظهر, العصر, المغرب, العشاء",المغرب
الفقه,"رجل بدون والدين أو زوجة ولكن لديه ولدان وثلاث بنات يموت. لديه 70,000 دولار من الأصول في وصيته. كم تحصل كل بنت؟","لا شيء, 5000 دولار, 10000 دولار, 14000 دولار, 20000 دولار",10000 دولار
علم التوحيد,أي من التالي ليس جزءًا من عقيدة الطحاوي؟,"توحيد الألوهية, توحيد الربوبية, توحيد القدر, توحيد الأسماء والصفات",توحيد القدر
القرآن,أي من التالي هو آية الكرسي؟,"2:255, 2:286, 2:202, 2:153",2:255
القرآن,كم عدد السور في الجزء التاسع والعشرين من القرآن؟,"8, 10, 11, 15",11
القرآن,كم عدد الآيات في النسخة الموحدة من القرآن؟,"5555, 5876, 6236, 6666",6236
القرآن,أي من الأشهر التالية ليس من الأشهر الحرم؟,"ذو القعدة, ذو الحجة, محرم, صفر",صفر
القرآن,ما هي أطول آية في القرآن؟,"2:282, 45:34, 55:38, 3:14",2:282
