category,question,options,correct
Tecvid,Aşağıdaki harflerden hangisi izhar harflerinden biri değildir?,"hemze, ha, ayn, kaf, hı",kaf
Tecvid,Şeddeli bir harften sonra gelen med harfi kaç hareke uzatılır?,"2, 3, 4, 6",6
Tecvid,Aşağıdaki harflerden hangisi kalkale harflerinden biri değildir?,"kaf, be, se, cim",se
Tecvid,Aşağıdaki harflerden hangisi nun harfinden sonra gelen idğam harflerinden biri değildir?,"ya, mim, lam, fe",fe
Fıkıh,Erkeklerin altın takması İslam'da ne durumdadır?,"Haram, Mekruh, Helal, Teşvik Edilen, Farz",Haram
Fıkıh,Erkeklerin ipek giymesi İslam'da ne durumdadır?,"Haram, Mekruh, Helal, Teşvik Edilen, Farz",Haram
Modern Meseleler,Eşcinsel eylemler İslam'da ne durumdadır?,"Haram, Mekruh, Helal, Teşvik Edilen, Farz",Haram
Modern Meseleler,Evlilik öncesi cinsel ilişki İslam'da ne durumdadır?,"Haram, Mekruh, Helal, Teşvik Edilen, Farz",Haram
Modern Meseleler,Altın ve gümüş değişiminde anında olmayan işlemler İslam'da ne durumdadır?,"Haram, Mekruh, Helal, Teşvik Edilen, Farz",Haram
Fıkıh,Hangi mezhep diğerlerine göre ikindi namazının başlamasını geciktirir?,"Hanefi, Şafii, Hanbeli, Maliki",Hanefi
İlahiyat,İblis veya Şeytan hangi tür yaratılışa aittir?,"İnsan, Melek, Cin, Diğer",Cin
İslam Tarihi,Muhammed hangi yılda doğdu?,"MÖ 570, MS 570, MS 203, MS 1492",MS 570
İslam Tarihi,Muhammed'in doğduğu yıla verilen isim nedir?,"At Yılı, Fil Yılı, Kaplan Yılı, Yılan Yılı",Fil Yılı
İslam Tarihi,Muhammed'in ilk eşinin adı nedir?,"Hatice, Aişe, Sevde, Zeynep",Hatice
Fıkıh,Hangi namaz tek sayıda rekat içerir?,"Sabah, Öğle, İkindi, Akşam, Yatsı",Akşam
Fıkıh,"Anne babası ve eşi olmayan, ama 2 oğlu ve 3 kızı olan bir adam ölür. Vasiyetinde 70.000 dolarlık mal varlığı vardır. Her kız ne kadar alır?","Hiçbir şey, 5000 dolar, 10000 dolar, 14000 dolar, 20000 dolar",10000 dolar
İlahiyat,Aşağıdakilerden hangisi Tahavi akidesinin bir parçası değildir?,"Uluhiyet Tevhidi, Rububiyet Tevhidi, Kader Tevhidi, İsim ve Sıfatlar Tevhidi",Kader Tevhidi
Kur'an,Aşağıdakilerden hangisi Ayet-el Kürsi'dir?,"2:255, 2:286, 2:202, 2:153",2:255
Kur'an,29. cüzde kaç sure vardır?,"8, 10, 11, 15",11
Kur'an,Standartlaştırılmış Kur'an versiyonunda kaç ayet vardır?,"5555, 5876, 6236, 6666",6236
